IT_POSITION,SENTENCE_LENGTH,PUNCTUATION_COUNT,PRECEDING_NPS,SUCCEDING_NPS,IMMEDIATELY_FOLLOWS_PP,NEIGHBORS_POS_TAGS,FOLLOWED_BY_ING_VERB,FOLLOWED_BY_PREPOSITION,ADJECTIVES_AFTER_COUNT,VERB_BEFORE,VERB_AFTER,ADJECTIVES_AFTER,NOUN_PHRASE_WITH_ADJECTIVE_AFTER,TOKENS_BEFORE_NEXT_VERB_INF,TOKENS_BETWEEN_IT_AND_PREPOSITION,IMMEDIATELY_FOLLLOWED_BY_NOUN_ADJECTIVE,CLOSEST_DEPENDENCY
12,113,23,4,29,false,ADJ,NOUN,DET,VERB,PUNCT,PRON,VERB,VERB,false,true,5,true,true,true,true,28,7,false,dobj
87,113,23,25,8,true,DET,ADJ,NOUN,ADP,PUNCT,PUNCT,PUNCT,PRON,false,true,0,true,true,false,false,0,5,false,prep_of
104,113,23,30,3,true,PUNCT,CONJ,VERB,ADP,ADV,ADP,NOUN,PUNCT,false,true,0,true,true,false,false,0,1,false,prep_at
112,113,23,33,0,false,PUNCT,PUNCT,PROPN,VERB,PUNCT,ABS,ABS,ABS,false,false,0,true,false,false,false,0,0,false,dobj
12,19,4,3,2,false,PROPN,PROPN,VERB,VERB,DET,ADJ,NOUN,PUNCT,false,false,1,true,false,true,true,0,0,false,dobj
34,53,9,7,5,true,PUNCT,VERB,ADP,ADP,ADP,ADP,DET,NOUN,false,true,1,true,true,true,true,0,0,false,prep_out_of
41,53,9,9,3,false,DET,NOUN,PUNCT,PUNCT,VERB,NUM,ADP,DET,false,true,1,true,true,true,true,0,2,false,nsubj
2,34,5,0,7,false,ABS,ABS,ABS,PUNCT,VERB,PRON,ADP,PRON,false,true,2,false,true,true,true,0,2,false,nsubj
31,34,5,7,0,false,VERB,VERB,ADV,ADP,VERB,ADV,PUNCT,ABS,false,false,0,true,true,false,false,0,0,false,nsubj
12,42,10,1,8,true,VERB,ADV,VERB,ADP,PUNCT,PUNCT,PUNCT,PROPN,false,true,1,true,true,true,true,33,14,false,prep_to
